MPSIS:;MPT:;PI:;SSP LABY:;SSP PROJEKTY:;INTER-AS NETWORKS:;ED:;RUTING:
Pon. 17:15-20:00/15;Pt. 11:20-12:50/16;Pt. 09:40-11:10/16;Pon. 08:00-09:30/30;Czw. 09:40-11:10/30;Pon. 08:00-09:30/25;Sr. 14:40-17:40/30;Sr. 11:20-12:50/15
Pon. 17:16-20:00/15;Pt. 13:00-14:30/16;Pt. 11:20-12:50/16;Sr. 16:20-17:50/30;Czw. 11:20-12:50/30;Pon. 09:40-11:10/25;Sr. 17:40-20:40/15;Sr. 13:00-14:30/15
;Pt. 15:15-16:45/16;Pt. 13:00-14:30/16;Sr. 18:00-19:30/30;;Pon. 11:20-12:50/25;;Sr. 14:40-16:10/15
;Pt. 16:45-18:15/16;Pt. 15:15-16:45/16;;;;;
